FilterNumber,TeamNumber
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
2,92
2,93
2,94
2,95
2,96
2,97
3,98
3,99
3,100
3,101
3,102
3,103
3,104
3,105
4,45
4,46
4,47
4,48
4,49
4,50
4,51
4,52
4,53
5,54
5,55
5,56
5,57
5,58
5,59
6,60
6,61
6,62
6,63
6,64
6,65
6,66
7,68
7,69
7,70
7,71
7,72
7,73
7,74
7,75
7,76
8,77
8,78
8,79
8,80
8,81
8,82
9,83
9,84
9,85
9,86
9,87
9,88
9,89
9,90
9,91
10,106
10,107
10,108
10,109
10,110
10,111
10,112
10,113
10,114
11,115
11,116
11,117
11,118
11,119
12,120
12,121
12,122
12,123
12,124
12,125
12,126
12,127
13,128
13,129
13,130
13,131
13,132
13,133
13,134
13,135
13,136
14,137
14,138
14,139
14,140
14,141
14,142
15,143
15,144
15,145
15,146
15,147
15,148
15,149
15,150
16,151
16,152
16,153
16,154
16,155
16,156
16,157
16,158
16,159
18,166
18,167
18,168
18,169
18,170
18,171
18,172
20,161
20,162
20,163
20,164
20,165
22,161
22,162
22,163
22,164
22,165
23,173
23,174
23,175
23,176
23,177
23,178
23,179
23,180
23,181
24,191
24,192
24,193
24,194
24,195
24,196
24,197
24,198
24,199
24,200
24,201
24,202
24,203
24,204
24,205
25,182
25,183
25,184
25,185
25,186
25,187
25,188
25,189
25,190
26,206
26,207
26,208
26,209
26,210
26,211
26,212
26,213
26,214
27,230
27,231
27,232
27,233
27,234
27,235
27,236
27,237
28,215
28,216
28,217
28,218
28,219
28,220
28,221
28,222
28,223
28,224
28,225
28,226
28,227
28,228
28,229
29,238
29,239
29,240
29,241
29,242
29,243
29,244
29,245
29,246
29,247
30,248
30,249
30,250
30,251
30,252
30,253
30,254
30,255
30,256
31,393
31,394
31,395
31,396
31,397
31,398
31,399
31,400
31,401
31,402
31,403
31,404
31,405
31,406
32,268
32,269
32,270
32,271
32,272
32,273
32,274
33,275
33,276
33,277
33,278
33,279
33,280
33,281
33,282
33,283
33,284
33,285
34,286
34,287
34,288
34,289
34,290
34,291
34,292
34,293
34,294
34,295
35,296
35,297
35,298
35,299
35,300
35,301
36,302
36,303
36,304
36,305
36,306
36,307
36,308
36,309
36,310
36,311
37,257
37,258
37,259
37,260
37,261
37,262
37,263
37,264
37,265
37,266
37,267
38,312
38,313
38,314
38,315
38,316
38,317
38,318
38,319
38,320
38,321
38,322
38,323
39,324
39,325
39,326
39,327
39,328
39,329
40,330
40,331
40,332
40,333
40,334
40,335
40,336
40,337
40,338
40,339
41,340
41,341
41,342
41,343
41,344
41,345
41,346
41,347
41,348
41,349
41,350
41,351
41,352
42,353
42,354
42,355
42,356
42,357
42,358
42,359
43,360
43,361
43,362
43,363
43,364
43,365
43,366
43,367
43,368
43,369
43,370
44,371
44,372
44,373
44,374
44,375
44,376
44,377
44,378
44,379
44,380
44,381
44,382
44,383
44,384
45,385
45,386
45,387
45,388
45,389
45,390
45,391
45,392
46,407
46,408
46,409
46,410
46,411
46,412
46,413
46,414
46,415
46,416
46,417
46,418
47,447
47,448
47,449
47,450
47,451
47,452
47,453
47,454
47,455
47,456
47,457
47,458
47,459
48,490
48,491
48,492
48,493
48,494
48,495
48,496
48,497
48,498
48,499
48,500
48,501
49,435
49,436
49,437
49,438
49,439
49,440
49,441
50,482
50,483
50,484
50,485
50,486
50,487
50,488
50,489
51,419
51,420
51,421
51,422
51,423
51,424
51,425
51,426
51,427
51,428
51,429
51,430
51,431
51,432
51,433
51,434
52,464
52,465
52,466
52,467
52,468
52,469
52,470
52,471
52,472
52,473
52,474
52,475
52,476
52,477
52,478
52,479
57,502
57,503
57,504
57,505
57,506
57,507
57,508
57,509
57,510
57,511
57,512
57,513
57,514
57,515
57,516
57,517
59,442
59,443
59,461
59,462
59,463
59,481
60,444
60,445
60,446
60,460
60,480
53,518
53,519
53,520
53,521
53,522
53,523
53,524
53,525
