TeamNumber,GameNumber,PA
38,1,3
38,3,4
38,4,4
38,7,3
38,8,5
38,9,4
38,10,5
38,11,4
38,12,5
38,13,3
38,14,2
38,15,4
38,16,4
38,17,4
38,18,4
38,19,3
51,1,80
58,1,50
65,1,67
72,1,63
80,1,95
88,1,56
95,1,3
95,2,4
95,3,4
95,6,3
95,7,4
95,8,3
95,9,5
95,10,3
95,11,3
95,12,3
95,14,4
95,15,4
95,16,4
95,17,3
95,18,3
95,19,3
98,1,4
98,2,3
98,3,5
98,4,5
98,5,4
98,6,4
98,7,4
98,8,5
98,9,4
98,10,4
98,11,3
98,12,3
98,13,2
98,14,3
98,17,4
98,18,3
125,1,4
125,3,4
125,4,3
125,5,4
125,6,4
125,12,4
125,13,3
125,14,4
125,15,4
125,16,3
125,17,4
125,18,4
125,19,5
125,20,5
125,21,3
125,22,3
125,23,4
132,1,3
132,2,3
132,3,4
132,4,4
132,6,4
132,7,4
132,8,3
132,9,5
132,10,4
132,11,4
132,12,4
132,13,5
132,14,5
132,15,5
132,16,1
132,18,4
132,19,5
132,20,4
132,21,4
132,22,4
137,1,4
137,2,4
137,3,3
137,4,4
137,5,3
137,11,4
137,12,4
137,13,3
137,14,4
137,15,3
137,16,3
137,17,4
137,18,3
137,19,3
137,20,4
137,21,5
137,22,4
137,23,5
148,1,4
148,2,4
148,3,3
148,7,4
148,8,3
148,9,3
148,10,3
148,11,3
148,12,3
148,13,3
148,14,5
148,15,5
148,16,4
148,17,4
148,18,4
148,19,4
148,20,4
148,21,5
148,22,3
157,1,3
157,2,3
157,3,4
157,4,4
157,5,3
157,6,3
157,7,3
157,8,3
157,9,1
157,13,4
157,14,3
157,15,4
157,17,4
165,1,3
165,2,4
165,3,5
165,4,5
165,5,5
165,6,4
165,7,4
165,8,4
165,9,3
165,10,4
165,11,4
165,13,2
165,14,3
165,15,2
165,16,3
187,1,4
187,2,4
187,3,3
187,4,3
187,5,3
187,6,3
187,8,3
187,9,3
187,10,3
187,11,3
187,12,3
187,13,5
187,14,4
187,15,3
187,16,4
187,17,3
187,18,3
210,1,2
210,2,3
210,3,4
210,5,3
210,6,3
210,7,3
210,13,3
210,14,3
210,15,3
210,16,3
210,17,3
210,18,1
210,19,3
223,1,53
237,1,3
237,2,3
237,3,3
237,4,3
237,5,2
237,6,2
237,7,3
237,8,3
237,9,3
237,10,3
237,11,2
237,12,3
237,13,2
237,14,3
237,16,2
237,17,3
237,18,3
237,19,3
237,20,4
243,1,3
243,2,3
243,3,3
243,4,3
243,5,3
243,7,3
243,8,3
243,9,3
243,10,3
243,11,2
243,12,3
243,13,3
243,14,3
243,15,4
243,16,3
243,17,3
243,18,3
255,1,3
255,2,3
255,3,2
255,4,3
255,5,3
255,6,2
255,7,3
255,8,3
255,9,4
255,10,3
255,11,3
255,12,3
255,13,2
