FilterNumber,FilterName
1,"Winter 2011"
2,"Summer 2011"
3,"Fall 2011"
4,"Winter 2009"
5,"Summer 2009"
6,"Fall 2009"
7,"Winter 2010"
8,"Summer 2010"
9,"Fall 2010"
10,"Winter 2012"
11,"Summer 2012"
12,"Fall 2012"
13,"Winter 2013"
14,"Summer 2013"
15,"Fall 2013"
16,"Winter 2014"
18,"Fall 2014"
20,"Summer 2014"
22,"Summer 2014"
23,"Winter 2015"
24,"Summer 2015"
25,"Fall 2015"
26,"Winter 2016"
27,"Fall 2016"
28,"Summer 2016"
29,"Winter 2017"
30,"Fall 2017"
31,"Summer 2017"
32,"Summer 2018"
33,"Fall 2018"
34,"Winter 2019"
35,"Summer 2019"
36,"Fall 2019"
37,"Winter 2018"
38,"Winter 2020"
39,"Summer 2020"
40,"Fall 2020"
41,"Winter 2021"
42,"Summer 2021"
43,"Fall 2021"
44,"Winter 2022"
45,"Summer 2022"
46,"Fall 2022"
47,"Fall 2023"
48,"Fall 2024"
49,"Summer 2023"
50,"Summer 2024"
51,"Winter 2023"
52,"Winter 2024"
53,"Summer 2025"
54,"Summer 2026"
55,"Fall 2025"
56,"Fall 2026"
57,"Winter 2025"
58,"Winter 2026"
59,"Winter 2008"
60,"Fall 2008"
