Date,Round,Home Team,Away Team,Field,Time
09/05/2025,1,Clippers,Buckeyes,Field 1,10:30 AM
09/05/2025,1,The Sandlot,Xtreme,Field 1,9:00 AM
09/05/2025,1,Warhawks,Stars,Field 2,10:30 AM
09/05/2025,1,Bad News Bears,Shorebirds,Field 2,9:00 AM
09/05/2025,1,Raptors,Rebels,Field 3,10:30 AM
09/05/2025,1,Norsemen,Lightning Strikes,Field 3,9:00 AM
09/10/2025,2,Lightning Strikes,Stars,Field 1,10:30 AM
09/10/2025,2,Norsemen,Raptors,Field 1,9:00 AM
09/10/2025,2,Rebels,Clippers,Field 2,10:30 AM
09/10/2025,2,Buckeyes,Bad News Bears,Field 2,9:00 AM
09/10/2025,2,Xtreme,Shorebirds,Field 3,10:30 AM
09/10/2025,2,The Sandlot,Warhawks,Field 3,9:00 AM
09/12/2025,3,The Sandlot,Shorebirds,Field 1,10:30 AM
09/12/2025,3,Warhawks,Lightning Strikes,Field 1,9:00 AM
09/12/2025,3,Clippers,Norsemen,Field 2,10:30 AM
09/12/2025,3,Xtreme,Buckeyes,Field 2,9:00 AM
09/12/2025,3,Bad News Bears,Rebels,Field 3,10:30 AM
09/12/2025,3,Stars,Raptors,Field 3,9:00 AM
09/17/2025,4,Rebels,Xtreme,Field 1,10:30 AM
09/17/2025,4,Stars,Clippers,Field 1,9:00 AM
09/17/2025,4,Warhawks,Raptors,Field 2,10:30 AM
09/17/2025,4,Lightning Strikes,The Sandlot,Field 2,9:00 AM
09/17/2025,4,Norsemen,Bad News Bears,Field 3,10:30 AM
09/17/2025,4,Shorebirds,Buckeyes,Field 3,9:00 AM
09/19/2025,5,Bad News Bears,Stars,Field 1,10:30 AM
09/19/2025,5,Shorebirds,Rebels,Field 1,9:00 AM
09/19/2025,5,Raptors,Lightning Strikes,Field 2,10:30 AM
09/19/2025,5,Xtreme,Norsemen,Field 2,9:00 AM
09/19/2025,5,The Sandlot,Buckeyes,Field 3,10:30 AM
09/19/2025,5,Warhawks,Clippers,Field 3,9:00 AM
09/24/2025,6,Shorebirds,Norsemen,Field 1,10:30 AM
09/24/2025,6,Buckeyes,Rebels,Field 1,9:00 AM
09/24/2025,6,Bad News Bears,Warhawks,Field 2,10:30 AM
09/24/2025,6,Raptors,The Sandlot,Field 2,9:00 AM
09/24/2025,6,Stars,Xtreme,Field 3,10:30 AM
09/24/2025,6,Lightning Strikes,Clippers,Field 3,9:00 AM
09/26/2025,7,Buckeyes,Norsemen,Field 1,10:30 AM
09/26/2025,7,Lightning Strikes,Bad News Bears,Field 1,9:00 AM
09/26/2025,7,Xtreme,Warhawks,Field 2,10:30 AM
09/26/2025,7,The Sandlot,Rebels,Field 2,9:00 AM
09/26/2025,7,Clippers,Raptors,Field 3,10:30 AM
09/26/2025,7,Shorebirds,Stars,Field 3,9:00 AM
10/01/2025,8,The Sandlot,Clippers,Field 1,10:30 AM
10/01/2025,8,Raptors,Bad News Bears,Field 1,9:00 AM
10/01/2025,8,Stars,Buckeyes,Field 2,10:30 AM
10/01/2025,8,Norsemen,Rebels,Field 2,9:00 AM
10/01/2025,8,Lightning Strikes,Xtreme,Field 3,10:30 AM
10/01/2025,8,Warhawks,Shorebirds,Field 3,9:00 AM
10/03/2025,9,Buckeyes,Warhawks,Field 1,10:30 AM
10/03/2025,9,Raptors,Xtreme,Field 1,9:00 AM
10/03/2025,9,Lightning Strikes,Shorebirds,Field 2,10:30 AM
10/03/2025,9,Clippers,Bad News Bears,Field 2,9:00 AM
10/03/2025,9,Norsemen,The Sandlot,Field 3,10:30 AM
10/03/2025,9,Rebels,Stars,Field 3,9:00 AM
10/08/2025,10,Rebels,Warhawks,Field 1,10:30 AM
10/08/2025,10,Clippers,Xtreme,Field 1,9:00 AM
10/08/2025,10,Raptors,Shorebirds,Field 2,10:30 AM
10/08/2025,10,Norsemen,Stars,Field 2,9:00 AM
10/08/2025,10,The Sandlot,Bad News Bears,Field 3,10:30 AM
10/08/2025,10,Buckeyes,Lightning Strikes,Field 3,9:00 AM
10/10/2025,11,Rebels,Lightning Strikes,Field 1,10:30 AM
10/10/2025,11,The Sandlot,Stars,Field 1,9:00 AM
10/10/2025,11,Clippers,Shorebirds,Field 2,10:30 AM
10/10/2025,11,Norsemen,Warhawks,Field 2,9:00 AM
10/10/2025,11,Raptors,Buckeyes,Field 3,10:30 AM
10/10/2025,11,Bad News Bears,Xtreme,Field 3,9:00 AM
10/15/2025,12,Shorebirds,Bad News Bears,Field 1,10:30 AM
10/15/2025,12,Stars,Warhawks,Field 1,9:00 AM
10/15/2025,12,Xtreme,The Sandlot,Field 2,10:30 AM
10/15/2025,12,Rebels,Raptors,Field 2,9:00 AM
10/15/2025,12,Lightning Strikes,Norsemen,Field 3,10:30 AM
10/15/2025,12,Buckeyes,Clippers,Field 3,9:00 AM
10/22/2025,13,Raptors,Norsemen,Field 1,10:30 AM
10/22/2025,13,Shorebirds,Xtreme,Field 1,9:00 AM
10/22/2025,13,Stars,Lightning Strikes,Field 2,10:30 AM
10/22/2025,13,Bad News Bears,Buckeyes,Field 2,9:00 AM
10/22/2025,13,Warhawks,The Sandlot,Field 3,10:30 AM
10/22/2025,13,Clippers,Rebels,Field 3,9:00 AM
10/24/2025,14,Rebels,Bad News Bears,Field 1,10:30 AM
10/24/2025,14,Norsemen,Clippers,Field 1,9:00 AM
10/24/2025,14,Buckeyes,Xtreme,Field 2,10:30 AM
10/24/2025,14,Shorebirds,The Sandlot,Field 2,9:00 AM
10/24/2025,14,Raptors,Stars,Field 3,10:30 AM
10/24/2025,14,Lightning Strikes,Warhawks,Field 3,9:00 AM
10/29/2025,15,Buckeyes,Shorebirds,Field 1,10:30 AM
10/29/2025,15,The Sandlot,Lightning Strikes,Field 1,9:00 AM
10/29/2025,15,Clippers,Stars,Field 2,10:30 AM
10/29/2025,15,Raptors,Warhawks,Field 2,9:00 AM
10/29/2025,15,Bad News Bears,Norsemen,Field 3,10:30 AM
10/29/2025,15,Xtreme,Rebels,Field 3,9:00 AM
10/31/2025,16,Clippers,Warhawks,Field 1,10:30 AM
10/31/2025,16,Lightning Strikes,Raptors,Field 1,9:00 AM
10/31/2025,16,Rebels,Shorebirds,Field 2,10:30 AM
10/31/2025,16,Stars,Bad News Bears,Field 2,9:00 AM
10/31/2025,16,Norsemen,Xtreme,Field 3,10:30 AM
10/31/2025,16,Buckeyes,The Sandlot,Field 3,9:00 AM
11/05/2025,17,The Sandlot,Raptors,Field 1,10:30 AM
11/05/2025,17,Warhawks,Bad News Bears,Field 1,9:00 AM
11/05/2025,17,Rebels,Buckeyes,Field 2,10:30 AM
11/05/2025,17,Xtreme,Stars,Field 2,9:00 AM
11/05/2025,17,Clippers,Lightning Strikes,Field 3,10:30 AM
11/05/2025,17,Norsemen,Shorebirds,Field 3,9:00 AM
11/07/2025,18,Warhawks,Xtreme,Field 1,10:30 AM
11/07/2025,18,Norsemen,Buckeyes,Field 1,9:00 AM
11/07/2025,18,Bad News Bears,Lightning Strikes,Field 2,10:30 AM
11/07/2025,18,Raptors,Clippers,Field 2,9:00 AM
11/07/2025,18,Stars,Shorebirds,Field 3,10:30 AM
11/07/2025,18,Rebels,The Sandlot,Field 3,9:00 AM
11/12/2025,19,Xtreme,Lightning Strikes,Field 1,10:30 AM
11/12/2025,19,Buckeyes,Stars,Field 1,9:00 AM
11/12/2025,19,Clippers,The Sandlot,Field 2,10:30 AM
11/12/2025,19,Rebels,Norsemen,Field 2,9:00 AM
11/12/2025,19,Bad News Bears,Raptors,Field 3,10:30 AM
11/12/2025,19,Shorebirds,Warhawks,Field 3,9:00 AM
11/14/2025,20,The Sandlot,Norsemen,Field 1,10:30 AM
11/14/2025,20,Bad News Bears,Clippers,Field 1,9:00 AM
11/14/2025,20,Warhawks,Buckeyes,Field 2,10:30 AM
11/14/2025,20,Shorebirds,Lightning Strikes,Field 2,9:00 AM
11/14/2025,20,Stars,Rebels,Field 3,10:30 AM
11/14/2025,20,Xtreme,Raptors,Field 3,9:00 AM
11/19/2025,21,Warhawks,Rebels,Field 1,10:30 AM
11/19/2025,21,Stars,Norsemen,Field 1,9:00 AM
11/19/2025,21,Shorebirds,Raptors,Field 2,10:30 AM
11/19/2025,21,Bad News Bears,The Sandlot,Field 2,9:00 AM
11/19/2025,21,Lightning Strikes,Buckeyes,Field 3,10:30 AM
11/19/2025,21,Xtreme,Clippers,Field 3,9:00 AM
11/21/2025,22,Stars,The Sandlot,Field 1,10:30 AM
11/21/2025,22,Shorebirds,Clippers,Field 1,9:00 AM
11/21/2025,22,Xtreme,Bad News Bears,Field 2,10:30 AM
11/21/2025,22,Warhawks,Norsemen,Field 2,9:00 AM
11/21/2025,22,Buckeyes,Raptors,Field 3,10:30 AM
11/21/2025,22,Lightning Strikes,Rebels,Field 3,9:00 AM
